index,CP6
1955-01-31 00:00:00,620.0
1955-02-28 00:00:00,633.0
1955-03-31 00:00:00,652.0
1955-04-29 00:00:00,652.0
1955-05-31 00:00:00,661.0
1955-06-30 00:00:00,683.0
1955-07-29 00:00:00,693.0
1955-08-31 00:00:00,715.0
1955-09-30 00:00:00,743.0
1955-10-31 00:00:00,743.0
1955-11-30 00:00:00,752.0
1955-12-30 00:00:00,870.0
1956-01-31 00:00:00,784.0
1956-02-29 00:00:00,765.0
1956-03-30 00:00:00,756.0
1956-04-30 00:00:00,775.0
1956-05-31 00:00:00,743.0
1956-06-29 00:00:00,734.0
1956-07-31 00:00:00,765.0
1956-08-31 00:00:00,734.0
1956-09-28 00:00:00,752.0
1956-10-31 00:00:00,793.0
1956-11-30 00:00:00,756.0
1956-12-31 00:00:00,784.0
1957-01-31 00:00:00,911.0
1957-02-28 00:00:00,852.0
1957-03-29 00:00:00,879.0
1957-04-30 00:00:00,879.0
1957-05-31 00:00:00,829.0
1957-06-28 00:00:00,852.0
1957-07-31 00:00:00,875.0
1957-08-30 00:00:00,852.0
1957-09-30 00:00:00,879.0
1957-10-31 00:00:00,852.0
1957-11-29 00:00:00,870.0
1957-12-31 00:00:00,852.0
1958-01-31 00:00:00,961.0
1958-02-28 00:00:00,966.0
1958-03-31 00:00:00,929.0
1958-04-30 00:00:00,980.0
1958-05-30 00:00:00,943.0
1958-06-30 00:00:00,980.0
1958-07-31 00:00:00,998.0
1958-08-29 00:00:00,939.0
1958-09-30 00:00:00,957.0
1958-10-31 00:00:00,929.0
1958-11-28 00:00:00,902.0
1958-12-31 00:00:00,920.0
1959-01-30 00:00:00,952.0
1959-02-27 00:00:00,911.0
1959-03-31 00:00:00,893.0
1959-04-30 00:00:00,861.0
1959-05-29 00:00:00,888.0
1959-06-30 00:00:00,870.0
1959-07-31 00:00:00,929.0
1959-08-31 00:00:00,916.0
1959-09-30 00:00:00,888.0
1959-10-30 00:00:00,861.0
1959-11-30 00:00:00,888.0
1959-12-31 00:00:00,870.0
