75 	1.35 1.00 -1.96 -2.17 -1.78 -4.21 -3.30 -1.43 -1.35 -0.34 -1.38 0.30
76 	-0.10 -4.13 -5.12 -2.13 -1.17 -1.24 1.01 -3.02 -5.40 -0.12 2.47 2.06
77 	-0.18 0.29 0.23 0.00 0.06 0.17 0.98 0.17 1.59 2.62 1.96 4.28
78 	0.26 -1.66 -3.03 -1.80 1.04 3.06 2.50 0.87 2.42 -2.37 1.22 1.05
79 	-0.05 1.68 1.70 -0.73 2.59 6.77 -0.98 -1.71 -2.53 -0.61 3.14 2.96
80 	1.01 -3.69 0.45 3.89 1.38 1.57 -0.08 1.30 0.62 -0.87 -2.11 2.48
81 	-4.73 -2.70 -2.45 -4.17 -5.76 -5.09 -2.92 -0.22 1.42 3.26 0.05 -0.95
82 	-2.14 -2.19 -1.96 2.18 -2.97 -1.89 0.12 -0.76 -0.94 -3.90 -0.86 -2.88
83 	-2.58 -2.78 3.30 2.06 -1.54 -1.30 -1.78 -0.13 -0.20 -1.35 -2.82 -1.97
84 	2.25 1.17 -2.29 -2.49 -0.87 -4.15 -0.53
